"ID"	"Reading_Time"	"Main_Idea"	"Key_Points"	"Relevant_Info"	"Global_Comprehension"	"MI_CAL_ERR"	"KP_CAL_ERR"	"RI_CAL_ERR"	"Calibration_Bias"	"Medium"	"Word_Reading_Ability"	"Working_Memory"	"Reading_Comprehension"	"Prior_Knowledge"	"Topic_Interest"	"Medium_Preference"	"Medium_Preference_Study"	"Gender"	"AGE"	"NATIONALITY"	"MYID"	"medium"	"CLASS"	"SCHOOL"	"Reading_Comprehension_levels"
"SON7DD"	321.31	0.5	0	2	2.5	3.33	6	5	4.78	"Paper"	59	2	16	2.13	35.5	2	1	"Boys"	13.17	1	91	1	5	"S"	"Intermediate"
"MAB7DD"	727.18	0.5	0	3	3.5	3.33	5	1	3.11	"Paper"	41	2	16	1.5	29	2	2	"Girls"	13.33	1	92	1	5	"S"	"Intermediate"
"RAD7DD*"	679.01	0.5	0	1	1.5	4.33	4	1	3.11	"Paper"	36	2	16	1.75	35.5	2	1	"Boys"	13.42	1	93	1	5	"S"	"Intermediate"
"HIM7DD*"	404.98	0.5	2	1	3.5	3.33	2	0	1.78	"Paper"	38	2	7	1.13	32	3	1	"Girls"	13.5	1	94	1	5	"S"	"Low"
"FIE7DD"	692.31	2	0	4	6	0.33	8	5	4.44	"Paper"	52	2	16	2.25	39.5	1	1	"Boys"	13.5	1	95	1	5	"S"	"Intermediate"
"RAR7DE"	350.35	1.5	1	4	6.5	3	6.5	1	3.5	"Paper"	60	3	18	1	36.5	2	1	"Girls"	13.83	1	96	1	6	"S"	"Intermediate"
"DCR7DE*"	994.36	0.5	0	4	4.5	5.33	7	3	5.11	"Paper"	37	2	6	1	25.5	2	1	"Girls"	13.08	1	97	1	6	"S"	"Low"
"SLO7DE"	312.6	0.5	2	2	4.5	5.33	3	5	4.44	"Paper"	42	2	15	1.38	26	2	1	"Boys"	13.5	1	98	1	6	"S"	"Intermediate"
"EMO7DE"	473.8	0.5	2	0	2.5	6.33	5	10	7.11	"Paper"	47	4	20	1.13	24	2	NA	"Boys"	13.42	1	99	1	6	"S"	"High"
"LLD8DE"	430.8	1	0	4	5	4.67	7	6	5.89	"Paper"	53	2	9	1.25	26.5	3	1	"Girls"	12.83	5	100	1	6	"S"	"Low"
"RML7DE"	392.02	0.5	0	0	0.5	-0.67	1	6	2.11	"Paper"	17	2	4	0.25	24.5	NA	NA	"Boys"	13	1	101	1	6	"S"	"Low"
